YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Consumption_Pattern,ConditionType,Condition,Sex,AgeGroup,Direct_AAF,Direct_AAF_Alternate,Indirect_AAF_Low,Indirect_AAF_Low_Alt,Indirect_AAF_Medium,Indirect_AAF_Medium_Alt,Indirect_AAF_High,Indirect_AAF_High_Alt,LocationID,ClassID,ConditionID,ConsumptionID,Stratification1ID,Stratification2ID
2006,2010,VA,Virginia,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,0-14,0.15,0.15,,,,,,,52,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP7
2006,2010,CO,Colorado,ARDI,Excessive Use,Chronic   ,Alcohol abuse,Male,All Ages,1.00,1.00,,,,,,,08,CHRONIC,ALCABU,EXCUSE,GENM,AGEGRP0
2006,2010,AR,Arkansas,ARDI,Excessive Use,Chronic   ,Alcoholic psychosis,Female,All Ages,1.00,1.00,,,,,,,05,CHRONIC,ALCPSY,EXCUSE,GENF,AGEGRP0
2006,2010,TX,Texas,ARDI,Excessive Use,Chronic   ,Gastroesophageal hemorrhage,Male,All Ages,0.47,0.47,,,,,,,48,CHRONIC,GASHEM,EXCUSE,GENM,AGEGRP0
2006,2010,IL,Illinois,ARDI,Excessive Use,Chronic   ,Alcoholic gastritis,Female,All Ages,1.00,1.00,,,,,,,17,CHRONIC,ALCGAS,EXCUSE,GENF,AGEGRP0
2006,2010,MI,Michigan,ARDI,Excessive Use,Acute     ,Fall injuries,Female,All Ages,0.32,0.32,,,,,,,26,ACUTE,FALLSS,EXCUSE,GENF,AGEGRP0
2006,2010,WI,Wisconsin,ARDI,Excessive Use,Acute     ,Hypothermia,Male,All Ages,0.42,0.42,,,,,,,55,ACUTE,HYPOTH,EXCUSE,GENM,AGEGRP0
2006,2010,AL,Alabama,ARDI,Excessive Use,Acute     ,Motor-vehicle nontraffic crashes,Female,All Ages,0.18,0.18,,,,,,,01,ACUTE,MTVNTR,EXCUSE,GENF,AGEGRP0
2006,2010,WI,Wisconsin,ARDI,Excessive Use,Acute     ,Poisoning (not alcohol),Male,All Ages,0.29,0.29,,,,,,,55,ACUTE,POISON,EXCUSE,GENM,AGEGRP0
2006,2010,KY,Kentucky,ARDI,Excessive Use,Chronic   ,Psoriasis,Female,All Ages,,,N/A,0.00,0.00,0.00,0.00,0.00,21,CHRONIC,PSORIA,EXCUSE,GENF,AGEGRP0
2006,2010,TX,Texas,ARDI,Excessive Use,Acute     ,Water transport,Male,All Ages,0.18,0.18,,,,,,,48,ACUTE,WATTRA,EXCUSE,GENM,AGEGRP0
2006,2010,SD,South Dakota,ARDI,Excessive Use,Acute     ,Firearm injuries,Male,All Ages,0.18,0.18,,,,,,,46,ACUTE,FIREAR,EXCUSE,GENM,AGEGRP0
2006,2010,VT,Vermont,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Female,35-44,0.34,0.34,,,,,,,50,ACUTE,MTVTRA,EXCUSE,GENF,AGEGRP11
2006,2010,IA,Iowa,ARDI,Excessive Use,Chronic   ,Alcohol dependence syndrome,Male,All Ages,1.00,1.00,,,,,,,19,CHRONIC,ALCDSY,EXCUSE,GENM,AGEGRP0
2006,2010,UT,Utah,ARDI,Excessive Use,Chronic   ,Fetus and newborn affected by maternal use of alcohol,Female,All Ages,1.00,1.00,,,,,,,51,CHRONIC,ALCMAU,EXCUSE,GENF,AGEGRP0
2006,2010,MD,Maryland,ARDI,Excessive Use,Chronic   ,Chronic hepatitis,Female,All Ages,,,N/A,0.00,0.00,0.00,0.01,0.01,24,CHRONIC,CHRHEP,EXCUSE,GENF,AGEGRP0
2006,2010,MO,Missouri,ARDI,Excessive Use,Chronic   ,Breast cancer (females only),Male,All Ages,0.00,0.00,,,,,,,29,CHRONIC,BRECAN,EXCUSE,GENM,AGEGRP0
2006,2010,AR,Arkansas,ARDI,Excessive Use,Acute     ,Hypothermia,Male,All Ages,0.42,0.42,,,,,,,05,ACUTE,HYPOTH,EXCUSE,GENM,AGEGRP0
2006,2010,RI,Rhode Island,ARDI,Excessive Use,Chronic   ,Spontaneous abortion (females only),Male,All Ages,0.00,0.00,,,,,,,44,CHRONIC,SPONAB,EXCUSE,GENM,AGEGRP0
2006,2010,WY,Wyoming,ARDI,Excessive Use,Acute     ,Water transport,Male,All Ages,0.18,0.18,,,,,,,56,ACUTE,WATTRA,EXCUSE,GENM,AGEGRP0
2006,2010,OR,Oregon,ARDI,Excessive Use,Chronic   ,Alcohol cardiomyopathy,Female,All Ages,1.00,1.00,,,,,,,41,CHRONIC,ALCCAR,EXCUSE,GENF,AGEGRP0
2006,2010,NC,North Carolina,ARDI,Excessive Use,Acute     ,Occupational and machine injuries,Female,All Ages,0.18,0.18,,,,,,,37,ACUTE,MACHOB,EXCUSE,GENF,AGEGRP0
2006,2010,OH,Ohio,ARDI,Excessive Use,Acute     ,Occupational and machine injuries,Female,All Ages,0.18,0.18,,,,,,,39,ACUTE,MACHOB,EXCUSE,GENF,AGEGRP0
2006,2010,NJ,New Jersey,ARDI,Excessive Use,Acute     ,Motor-vehicle traffic crashes,Male,0-14,0.15,0.15,,,,,,,34,ACUTE,MTVTRA,EXCUSE,GENM,AGEGRP7
2006,2010,HI,Hawaii,ARDI,Excessive Use,Chronic   ,Alcoholic myopathy,Female,All Ages,1.00,1.00,,,,,,,15,CHRONIC,ALCMYO,EXCUSE,GENF,AGEGRP0
2006,2010,AK,Alaska,ARDI,Excessive Use,Chronic   ,Alcohol abuse,Male,All Ages,1.00,1.00,,,,,,,02,CHRONIC,ALCABU,EXCUSE,GENM,AGEGRP0
2006,2010,NC,North Carolina,ARDI,Excessive Use,Chronic   ,Alcohol-induced chronic pancreatitis,Male,All Ages,1.00,1.00,,,,,,,37,CHRONIC,ALCCRP,EXCUSE,GENM,AGEGRP0
2006,2010,VA,Virginia,ARDI,Excessive Use,Chronic   ,Epilepsy,Male,All Ages,0.15,0.15,,,,,,,52,CHRONIC,EPILEP,EXCUSE,GENM,AGEGRP0
